"グループ名","TwitterID","TwitterName","フォロワー数","ツイート数","フォロワー数","ツイート数","","グループ名","TwitterID","TwitterName","フォロワー増減","","グループ名","TwitterID","TwitterName","ツイート増減"
"#フラサービックル","FLABI_MIKOTO","美月みこと #フラサービックル 2022/1/16(日)1stワンマン@ ZeppFukuoka","1010","1289","1010","1289","","#ジューロック","misa_JUROCK","清水美早 #ジューロック","0","","#えぐる","musicriona","瀧本りおな","0"
"#フラサービックル","FLABI_MOKO","宮崎もこ #フラサービックル　2022/1/16(日)1stワンマン@ ZeppFukuoka","1450","1042","1450","1042","","#ジューロック","nana_JUROCK","高地なな ワッツ◎さーくる","0","","#えぐる","sunwing_color","陽羽/Hiwa【えぐるFORCE】","0"
"#フラサービックル","FLABI_OTO","双葉おと#フラサービックル 2022/1/16(日)1stワンマン@ ZeppFukuoka","1078","794","1078","794","","#ジューロック","ria_JUROCK","椎名りあ ワッツ◎さーくる","0","","#がらぽん","koharu_grpn","こはる😈#がらぽん","0"
"#フラサービックル","FLABI_RAIMU","夏芽 らいむ#フラサービックル2021/1/16(日)1stワンマン@ ZeppFukuoka","816","576","816","576","","#ジューロック","saki_JUROCK2","白間沙希 #ジューロック","0","","#がらぽん","miaki_grpn","みあき🥒#がらぽん@12/4生誕祭in池袋🌱","0"
"#フラサービックル","FLABI_RAN","逢坂らん #フラサービックル 2022/1/16(日)1stワンマン@ZeppFukuoka","1891","1488","1891","1488","","#ジューロック","sayu_JUROCK2","朝倉さゆ #ジューロック","0","","#がらぽん","noi_grpn","のい🐈#がらぽん","0"
"#フラサービックル","FLABI_SENA","白濱せな #フラサービックル2022/1/16(日)1stワンマン@ ZeppFukuoka","1237","473","1237","473","","#ジューロック","suzune_JUROCK2","篠宮すずね #ジューロック","0","","#ジューロック","an_JUROCK","白石杏 #ジューロック","0"
"#ペンタプリズム","kanata_Pprism","天乃かなた #ペンタプリズム","938","1911","938","1911","","#ババババンビ","akanekogurasi","吉沢朱音 #ババババンビ","0","","#ジューロック","fuka_JUROCK","西野ふうか #ジューロック","0"
"#ペンタプリズム","kotori_Pprism","犬飼ことり（#ペンタプリズム）","4451","11050","4451","11050","","#ババババンビ","meruda__ikeda","池田メルダ #ババババンビ","0","","#ジューロック","maria_JUROCK","黒木真里亜 ワッツ◎さーくる","0"
"#ペンタプリズム","mayoi_Pprism","道弐まよい #ペンタプリズム","1125","207","1125","207","","#ババババンビ","miyu_kishi0213","岸みゆ #ババババンビ","0","","#ジューロック","marin_JUROCK2","加藤真凛 #ジューロック","0"
"#ペンタプリズム","nano_Pprism","なの.com（ #ペンタプリズム ）","7831","6837","7831","6837","","#ババババンビ","pipipi_br","小鳥遊るい #ババババンビ","0","","#ジューロック","megu_JUROCK2","村瀬めぐ #ジューロック","0"
"#ペンタプリズム","reia_Pprism","汐咲玲亜 #ペンタプリズム","1110","904","1110","904","","#ババババンビ","saekondo_inu","近藤沙瑛子🐾 #ババババンビ","0","","#ジューロック","misa_JUROCK","清水美早 #ジューロック","0"
"#ワールドカオス","michan__zrx","花宮 みずき","528","1564","528","1564","","#ババババンビ","usa_usa0427","宇咲 #ババババンビ (9/4~全国ツアー)","0","","#ジューロック","nana_JUROCK","高地なな ワッツ◎さーくる","0"
"#ワールドカオス","ririka_hprcm","神田 利理加@飛ぺりか夢💜","4021","32069","4021","32069","","#フラサービックル","FLABI_MANA","花園まな#フラサービックル 2022/1/16(日)1stワンマン@ZeppFukuoka","0","","#ジューロック","ria_JUROCK","椎名りあ ワッツ◎さーくる","0"
"#ワールドカオス","UT_TU_tnk","たなか🧡12月26日生誕祭🧡","632","3502","632","3502","","#フラサービックル","FLABI_MIKOTO","美月みこと #フラサービックル 2022/1/16(日)1stワンマン@ ZeppFukuoka","0","","#ジューロック","saki_JUROCK2","白間沙希 #ジューロック","0"
"#ワールドカオス","World_arishan","😈黒羽 有咲 ‎𓊆ありしゃん𓊇12/26 卒業","2772","3071","2772","3071","","#フラサービックル","FLABI_MOKO","宮崎もこ #フラサービックル　2022/1/16(日)1stワンマン@ ZeppFukuoka","0","","#ジューロック","sayu_JUROCK2","朝倉さゆ #ジューロック","0"
"#ワールドカオス","World_hinamyun","ひなみゅん💚🐣ྀི","1290","8711","1290","8711","","#フラサービックル","FLABI_OTO","双葉おと#フラサービックル 2022/1/16(日)1stワンマン@ ZeppFukuoka","0","","#ジューロック","suzune_JUROCK2","篠宮すずね #ジューロック","0"
"#ワールドカオス","World_moechu","星宮もえ(もえちゅ)🧸🍓12月2日卒業","1224","2952","1224","2952","","#フラサービックル","FLABI_RAIMU","夏芽 らいむ#フラサービックル2021/1/16(日)1stワンマン@ ZeppFukuoka","0","","#ババババンビ","akanekogurasi","吉沢朱音 #ババババンビ","0"
